date,geography,geography code,Rural Urban,Ethnic Group: All usual residents; measures: Value,Ethnic Group: White; measures: Value,Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value,Ethnic Group: White: Irish; measures: Value,Ethnic Group: White: Gypsy or Irish Traveller; measures: Value,Ethnic Group: White: Other White; measures: Value,Ethnic Group: Mixed/multiple ethnic groups; measures: Value,Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value,Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value,Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value,Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value,Ethnic Group: Asian/Asian British; measures: Value,Ethnic Group: Asian/Asian British: Indian; measures: Value,Ethnic Group: Asian/Asian British: Pakistani; measures: Value,Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value,Ethnic Group: Asian/Asian British: Chinese; measures: Value,Ethnic Group: Asian/Asian British: Other Asian; measures: Value,Ethnic Group: Black/African/Caribbean/Black British; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value,Ethnic Group: Other ethnic group; measures: Value,Ethnic Group: Other ethnic group: Arab; measures: Value,Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value
2011,AL1  1,AL1  1,Total,5453,4738,4221,114,9,394,160,44,8,65,43,394,104,42,72,66,110,127,50,53,24,34,12,22
2011,AL1  2,AL1  2,Total,6523,5127,4562,139,13,413,218,88,23,72,35,851,92,80,493,56,130,258,101,114,43,69,40,29
2011,AL1  3,AL1  3,Total,4179,3599,3091,118,6,384,150,39,10,52,49,311,94,20,70,70,57,99,50,41,8,20,11,9
2011,AL1  4,AL1  4,Total,9799,8790,8022,175,13,580,280,41,22,135,82,562,116,118,109,77,142,111,74,26,11,56,20,36
2011,AL1  5,AL1  5,Total,10226,7775,6655,232,14,874,383,121,42,135,85,1618,252,314,662,128,262,300,138,136,26,150,81,69
2011,AL10 0,AL10 0,Total,9935,7744,6541,153,17,1033,267,75,61,69,62,958,403,89,92,209,165,823,672,101,50,143,84,59
2011,AL10 8,AL10 8,Total,10998,8142,7092,180,24,846,330,113,49,86,82,1566,578,173,99,342,374,816,667,110,39,144,85,59
2011,AL10 9,AL10 9,Total,14967,9997,8677,222,20,1078,508,160,64,153,131,2618,1034,217,97,796,474,1526,1228,219,79,318,201,117
2011,AL2  1,AL2  1,Total,9507,7581,6773,185,3,620,453,122,56,158,117,1096,236,54,333,90,383,231,138,77,16,146,54,92
2011,AL2  2,AL2  2,Total,6130,5509,5119,146,21,223,152,42,17,53,40,304,101,14,51,75,63,118,50,60,8,47,23,24
